RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Pantry Pride Phillies,997,308,962,142,0.2701,1330,80,3.383,1.095,71
2,Ding-a- lingers,1018,331,937,131,0.2731,1283,76,3.71,1.142,23
3,Salem Ducks,1033,351,1043,92,0.2817,1141,68,3.87,1.222,84
4,Kitty Kats,963,312,907,46,0.2655,1372,77,3.668,1.145,92
5,Al - Stars,985,312,1020,99,0.2713,1234,77,4.422,1.289,5
6,Cincinnati Kid,937,282,895,86,0.2705,1325,83,3.772,1.192,43
7,Schmita Kuff,924,302,850,106,0.2597,1156,69,3.998,1.208,51
8,The Donaters,972,299,942,97,0.2602,1079,72,4.122,1.302,60
9,Cloud Nine,893,258,834,114,0.2649,1112,77,3.711,1.229,18
10,Jeter's Gems,949,303,928,91,0.2742,1113,64,4.51,1.348,30
11,Team Ikers,849,249,909,52,0.2706,1137,65,3.996,1.226,65
12,Black Swamp,891,261,881,81,0.2575,1144,66,4.052,1.259,39
