RK,Team,R,HR,RBI,SB,AVG,K,W,ERA,WHIP,SVHD
1,Pantry Pride Phillies,972,276,915,79,0.2665,1336,73,3.486,1.087,43
2,The Donaters,919,319,959,87,0.2532,1262,71,3.447,1.184,71
3,Ding-a- lingers,867,237,827,107,0.2655,1035,68,3.356,1.082,49
4,Cincinnati Kid,856,294,878,94,0.2662,1093,66,3.627,1.153,88
5,Schmita Kuff,940,280,881,84,0.2635,1189,66,3.373,1.137,19
6,Salem Ducks,921,268,929,66,0.2642,998,79,3.835,1.173,61
7,Jeter's Gems,997,331,927,101,0.261,1164,65,3.855,1.209,45
8,Cloud Nine,766,212,806,109,0.2649,1175,72,3.403,1.152,33
9,Al - Stars,856,242,834,94,0.2592,1013,66,3.837,1.214,60
10,Kitty Kats,764,219,710,67,0.2502,1142,74,3.891,1.183,64
10,Black Swamp,821,199,750,88,0.247,1317,78,3.93,1.183,4
12,Neutered Sea Monkeys,897,270,875,103,0.2588,997,66,4.738,1.336,3
